Id,Mosquito,Xcoord,Ycoord,Neighbors,Members
root.buildings[16]( parameter = 0.0, capacityOfMosquitoes = 36.0 ), 555192.1868560628, 1825415.1640305924, 1, 0
root.buildings[17]( parameter = 0.0, capacityOfMosquitoes = 5.0 ), 556051.3896740273, 1827828.6253823629, 0, 0
root.buildings[18]( parameter = 0.0, capacityOfMosquitoes = 18.0 ), 554385.358560803, 1824723.2807372573, 0, 0
root.buildings[19]( parameter = 0.0, capacityOfMosquitoes = 5.0 ), 554469.4135594104, 1826288.856542003, 2, 0
root.buildings[20]( parameter = 0.0, capacityOfMosquitoes = 41.0 ), 554920.6848627765, 1827837.9078807004, 0, 4
root.buildings[21]( parameter = 0.0, capacityOfMosquitoes = 155.0 ), 554555.8125088477, 1827932.9245384724, 1, 5
root.buildings[22]( parameter = 0.0, capacityOfMosquitoes = 23.0 ), 555634.0355219427, 1824976.8224614302, 0, 3
root.buildings[23]( parameter = 0.0, capacityOfMosquitoes = 53.0 ), 554916.152652006, 1825892.386542135, 2, 3
root.buildings[24]( parameter = 0.0, capacityOfMosquitoes = 85.0 ), 556544.2937609593, 1824710.6132371572, 1, 3
root.buildings[25]( parameter = 0.0, capacityOfMosquitoes = 24.0 ), 556277.9659482492, 1826290.1756370931, 1, 4
root.buildings[26]( parameter = 0.0, capacityOfMosquitoes = 35.0 ), 556028.3558354976, 1824908.8096019079, 0, 6
root.buildings[27]( parameter = 0.0, capacityOfMosquitoes = 11.0 ), 556544.2964446669, 1824932.4875573004, 0, 2
root.buildings[28]( parameter = 0.0, capacityOfMosquitoes = 57.0 ), 555868.9883916798, 1825052.61076107, 1, 3
root.buildings[29]( parameter = 0.0, capacityOfMosquitoes = 62.0 ), 554513.8163930904, 1826427.0390973883, 1, 2
root.buildings[30]( parameter = 0.0, capacityOfMosquitoes = 46.0 ), 554792.4188091378, 1826068.304333164, 0, 3
root.buildings[31]( parameter = 0.0, capacityOfMosquitoes = 42.0 ), 556450.0516720861, 1826160.4844846928, 0, 2
root.buildings[32]( parameter = 0.0, capacityOfMosquitoes = 2.0 ), 555066.1853836342, 1826982.9751507505, 0, 2
root.buildings[33]( parameter = 0.0, capacityOfMosquitoes = 35.0 ), 555675.7340034951, 1826125.7779741515, 0, 2
root.buildings[34]( parameter = 0.0, capacityOfMosquitoes = 8.0 ), 554967.3772760048, 1825030.8240335702, 0, 2
root.buildings[35]( parameter = 0.0, capacityOfMosquitoes = 25.0 ), 556497.2493858234, 1825007.5056497958, 0, 4
root.buildings[36]( parameter = 0.0, capacityOfMosquitoes = 40.0 ), 555522.6836814564, 1824322.250177637, 0, 3
root.buildings[37]( parameter = 0.0, capacityOfMosquitoes = 70.0 ), 554323.3319626118, 1824593.358043651, 0, 3
root.buildings[38]( parameter = 0.0, capacityOfMosquitoes = 11.0 ), 554738.0576003819, 1825197.2082089102, 0, 3
root.buildings[39]( parameter = 0.0, capacityOfMosquitoes = 13.0 ), 554414.6679408216, 1827367.3766128102, 1, 5
root.buildings[40]( parameter = 0.0, capacityOfMosquitoes = 27.0 ), 556546.7993130776, 1824716.3777542782, 1, 2
root.buildings[41]( parameter = 0.0, capacityOfMosquitoes = 62.0 ), 555438.8921072473, 1827022.8062837094, 0, 4
root.buildings[42]( parameter = 0.0, capacityOfMosquitoes = 41.0 ), 555792.6429323158, 1824900.771067417, 1, 8
root.buildings[43]( parameter = 0.0, capacityOfMosquitoes = 35.0 ), 555066.0286272158, 1826247.3839906706, 2, 4
root.buildings[44]( parameter = 0.0, capacityOfMosquitoes = 48.0 ), 555264.0774412478, 1825873.5298571512, 2, 2
root.buildings[45]( parameter = 0.0, capacityOfMosquitoes = 6.0 ), 554572.9192899932, 1826714.4374970982, 0, 4
root.buildings[46]( parameter = 0.0, capacityOfMosquitoes = 5.0 ), 555013.1870276887, 1824654.596233611, 1, 3
root.buildings[47]( parameter = 0.0, capacityOfMosquitoes = 2.0 ), 555674.2626002618, 1824998.77324961, 0, 2
root.buildings[48]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 556351.0101284268, 1824960.646733653, 0, 3
root.buildings[49]( parameter = 0.0, capacityOfMosquitoes = 14.0 ), 555250.8096932456, 1827960.86517589, 0, 3
root.buildings[50]( parameter = 0.0, capacityOfMosquitoes = 66.0 ), 556074.77102499, 1827089.343333735, 0, 3
root.buildings[51]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 556255.5638125819, 1827518.1555990174, 1, 3
root.buildings[52]( parameter = 0.0, capacityOfMosquitoes = 7.0 ), 555885.122603965, 1825623.498007422, 0, 3
root.buildings[53]( parameter = 0.0, capacityOfMosquitoes = 78.0 ), 555173.2394350625, 1825429.8108529681, 2, 2
root.buildings[54]( parameter = 0.0, capacityOfMosquitoes = 20.0 ), 554312.6635535148, 1826645.4980695234, 0, 5
root.buildings[55]( parameter = 0.0, capacityOfMosquitoes = 41.0 ), 554715.743669923, 1828060.5566127382, 0, 2
root.buildings[56]( parameter = 0.0, capacityOfMosquitoes = 34.0 ), 555587.0291215521, 1825333.8567594509, 0, 3
root.buildings[57]( parameter = 0.0, capacityOfMosquitoes = 152.0 ), 555269.2683323938, 1827699.174160005, 0, 3
root.buildings[58]( parameter = 0.0, capacityOfMosquitoes = 51.0 ), 555942.9422567097, 1826544.796165132, 0, 3
root.buildings[59]( parameter = 0.0, capacityOfMosquitoes = 1.0 ), 554275.8522058154, 1826923.699178734, 0, 2
root.buildings[60]( parameter = 0.0, capacityOfMosquitoes = 53.0 ), 554928.526238309, 1825604.9122617266, 0, 3
root.buildings[61]( parameter = 0.0, capacityOfMosquitoes = 134.0 ), 555866.9000753791, 1825071.8043975807, 2, 2
root.buildings[62]( parameter = 0.0, capacityOfMosquitoes = 15.0 ), 554774.7363815475, 1826277.9971137098, 0, 3
root.buildings[63]( parameter = 0.0, capacityOfMosquitoes = 25.0 ), 555324.2565898328, 1826344.7331195893, 0, 2
root.buildings[64]( parameter = 0.0, capacityOfMosquitoes = 32.0 ), 554362.2873139426, 1827016.6570997222, 1, 2
root.buildings[65]( parameter = 0.0, capacityOfMosquitoes = 61.0 ), 556276.6188762236, 1824678.1022689184, 1, 2
root.buildings[66]( parameter = 0.0, capacityOfMosquitoes = 12.0 ), 556555.2977304539, 1827540.5918400127, 0, 3
root.buildings[67]( parameter = 0.0, capacityOfMosquitoes = 85.0 ), 554875.6273932302, 1824491.674125904, 0, 3
root.buildings[68]( parameter = 0.0, capacityOfMosquitoes = 12.0 ), 555829.7945867514, 1826801.109497693, 0, 3
root.buildings[69]( parameter = 0.0, capacityOfMosquitoes = 22.0 ), 554481.571355129, 1825536.100187532, 0, 2
root.buildings[70]( parameter = 0.0, capacityOfMosquitoes = 33.0 ), 555689.9276002458, 1827193.0051083416, 0, 3
root.buildings[71]( parameter = 0.0, capacityOfMosquitoes = 12.0 ), 555055.0794441237, 1827228.013750276, 0, 4
root.buildings[72]( parameter = 0.0, capacityOfMosquitoes = 16.0 ), 555925.8978291871, 1827956.2188792492, 0, 2
root.buildings[73]( parameter = 0.0, capacityOfMosquitoes = 48.0 ), 554271.0968186046, 1826986.1381917528, 0, 4
root.buildings[74]( parameter = 0.0, capacityOfMosquitoes = 39.0 ), 556548.3029341535, 1824770.5609473079, 0, 2
root.buildings[75]( parameter = 0.0, capacityOfMosquitoes = 39.0 ), 555336.4004832535, 1826003.1448683152, 1, 2
root.buildings[76]( parameter = 0.0, capacityOfMosquitoes = 32.0 ), 556255.9973132104, 1825826.2726202093, 0, 3
root.buildings[77]( parameter = 0.0, capacityOfMosquitoes = 52.0 ), 555272.5780879997, 1825217.2526392203, 1, 3
root.buildings[78]( parameter = 0.0, capacityOfMosquitoes = 46.0 ), 554507.7526125044, 1826607.9396770115, 0, 2
root.buildings[79]( parameter = 0.0, capacityOfMosquitoes = 55.0 ), 556544.8079095626, 1826410.2659349777, 0, 2
root.buildings[80]( parameter = 0.0, capacityOfMosquitoes = 3.0 ), 555460.8238597444, 1827670.719831872, 0, 2
root.buildings[81]( parameter = 0.0, capacityOfMosquitoes = 13.0 ), 555489.811632491, 1827105.8244800074, 0, 2
root.buildings[82]( parameter = 0.0, capacityOfMosquitoes = 11.0 ), 556158.2239050029, 1826676.2985976047, 0, 3
root.buildings[83]( parameter = 0.0, capacityOfMosquitoes = 3.0 ), 555962.8599655621, 1824722.690404547, 0, 3
root.buildings[84]( parameter = 0.0, capacityOfMosquitoes = 101.0 ), 556413.1051914376, 1826457.9123862514, 1, 3
root.buildings[85]( parameter = 0.0, capacityOfMosquitoes = 16.0 ), 554220.1383065428, 1826639.663354764, 0, 2
root.buildings[86]( parameter = 0.0, capacityOfMosquitoes = 34.0 ), 554222.1865497266, 1827474.9253085868, 1, 3
root.buildings[87]( parameter = 0.0, capacityOfMosquitoes = 9.0 ), 556305.429418275, 1824453.5278899074, 0, 5
root.buildings[88]( parameter = 0.0, capacityOfMosquitoes = 31.0 ), 555813.6417489346, 1826692.31109336, 0, 2
root.buildings[89]( parameter = 0.0, capacityOfMosquitoes = 34.0 ), 555988.0626532887, 1826041.5454664659, 0, 2
root.buildings[90]( parameter = 0.0, capacityOfMosquitoes = 26.0 ), 555057.7222314791, 1825589.669928805, 0, 2
root.buildings[91]( parameter = 0.0, capacityOfMosquitoes = 7.0 ), 555229.2640329243, 1825958.8658713521, 0, 2
root.buildings[92]( parameter = 0.0, capacityOfMosquitoes = 15.0 ), 555930.5110220689, 1824883.0222936089, 0, 3
root.buildings[93]( parameter = 0.0, capacityOfMosquitoes = 48.0 ), 556076.421664072, 1825570.224359631, 1, 4
root.buildings[94]( parameter = 0.0, capacityOfMosquitoes = 58.0 ), 554992.294996557, 1826422.9268414518, 0, 4
root.buildings[95]( parameter = 0.0, capacityOfMosquitoes = 30.0 ), 554426.2018362839, 1827480.4343488764, 0, 2
root.buildings[96]( parameter = 0.0, capacityOfMosquitoes = 43.0 ), 556029.990109386, 1827388.9437450864, 1, 4
root.buildings[97]( parameter = 0.0, capacityOfMosquitoes = 19.0 ), 554214.4658288959, 1825514.9918686012, 0, 3
root.buildings[98]( parameter = 0.0, capacityOfMosquitoes = 20.0 ), 554813.5422044285, 1825010.4582248286, 0, 3
root.buildings[99]( parameter = 0.0, capacityOfMosquitoes = 27.0 ), 556543.1877729342, 1824844.9860178202, 0, 5
root.buildings[100]( parameter = 0.0, capacityOfMosquitoes = 17.0 ), 554625.2070521213, 1827069.6008829009, 0, 2
root.buildings[101]( parameter = 0.0, capacityOfMosquitoes = 98.0 ), 554855.5964279997, 1826025.181679755, 0, 4
root.buildings[102]( parameter = 0.0, capacityOfMosquitoes = 63.0 ), 554548.3152841955, 1825703.4621846608, 1, 2
root.buildings[103]( parameter = 0.0, capacityOfMosquitoes = 14.0 ), 556445.0062874864, 1824432.4590778402, 0, 3
root.buildings[104]( parameter = 0.0, capacityOfMosquitoes = 4.0 ), 556196.4211187349, 1824891.586662128, 0, 4
root.buildings[105]( parameter = 0.0, capacityOfMosquitoes = 95.0 ), 556473.3024001591, 1825426.3177613078, 0, 2
root.buildings[106]( parameter = 0.0, capacityOfMosquitoes = 24.0 ), 555646.7803939561, 1826705.8353497859, 0, 3
root.buildings[107]( parameter = 0.0, capacityOfMosquitoes = 40.0 ), 554553.0197299075, 1826920.6326128396, 0, 3
root.buildings[108]( parameter = 0.0, capacityOfMosquitoes = 75.0 ), 556074.9201336883, 1824889.6827512775, 0, 2
root.buildings[109]( parameter = 0.0, capacityOfMosquitoes = 11.0 ), 555605.7636495681, 1825929.7220317437, 1, 5
root.buildings[110]( parameter = 0.0, capacityOfMosquitoes = 44.0 ), 555857.6774695191, 1827290.2768313081, 1, 2
root.buildings[111]( parameter = 0.0, capacityOfMosquitoes = 6.0 ), 556236.8450120336, 1825253.8376390613, 0, 3
root.buildings[112]( parameter = 0.0, capacityOfMosquitoes = 8.0 ), 554777.4371939438, 1827102.528743368, 0, 5
root.buildings[113]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 555177.1561950609, 1826803.1979189229, 1, 3
root.buildings[114]( parameter = 0.0, capacityOfMosquitoes = 27.0 ), 554763.2283930042, 1825377.251318595, 0, 10
root.buildings[115]( parameter = 0.0, capacityOfMosquitoes = 23.0 ), 554429.9497916984, 1827592.4408056193, 0, 3
root.buildings[116]( parameter = 0.0, capacityOfMosquitoes = 6.0 ), 556556.3310383809, 1825433.2780510264, 1, 3
root.buildings[117]( parameter = 0.0, capacityOfMosquitoes = 109.0 ), 555814.842972374, 1825323.810373363, 0, 2
root.buildings[118]( parameter = 0.0, capacityOfMosquitoes = 91.0 ), 554449.6613500887, 1825117.313172133, 0, 3
root.buildings[119]( parameter = 0.0, capacityOfMosquitoes = 77.0 ), 554866.2618291004, 1825356.5120072628, 0, 2
root.buildings[120]( parameter = 0.0, capacityOfMosquitoes = 52.0 ), 556479.0479025028, 1826144.4699580586, 2, 4
root.buildings[121]( parameter = 0.0, capacityOfMosquitoes = 9.0 ), 554999.8771515831, 1826238.5344312727, 0, 5
root.buildings[122]( parameter = 0.0, capacityOfMosquitoes = 29.0 ), 556553.3477350541, 1825456.9298256307, 1, 3
root.buildings[123]( parameter = 0.0, capacityOfMosquitoes = 63.0 ), 554453.1864203913, 1826781.2012114904, 0, 3
root.buildings[124]( parameter = 0.0, capacityOfMosquitoes = 11.0 ), 555875.3370190965, 1827904.0480994931, 1, 4
root.buildings[125]( parameter = 0.0, capacityOfMosquitoes = 50.0 ), 555799.515313439, 1826523.3176984638, 0, 4
root.buildings[126]( parameter = 0.0, capacityOfMosquitoes = 45.0 ), 556024.7685762541, 1827556.9619668785, 0, 2
root.buildings[127]( parameter = 0.0, capacityOfMosquitoes = 5.0 ), 554525.4221719225, 1824344.4450805692, 1, 3
root.buildings[128]( parameter = 0.0, capacityOfMosquitoes = 25.0 ), 555912.1814076571, 1826592.9215751188, 0, 2
root.buildings[129]( parameter = 0.0, capacityOfMosquitoes = 23.0 ), 555276.1059868928, 1826689.5581084415, 0, 3
root.buildings[130]( parameter = 0.0, capacityOfMosquitoes = 13.0 ), 554629.0902985414, 1827281.2301678637, 0, 3
root.buildings[131]( parameter = 0.0, capacityOfMosquitoes = 71.0 ), 556244.5940135552, 1827069.1483361141, 0, 5
root.buildings[132]( parameter = 0.0, capacityOfMosquitoes = 21.0 ), 554453.0686169793, 1825470.3597543717, 0, 4
root.buildings[133]( parameter = 0.0, capacityOfMosquitoes = 128.0 ), 556452.5990942804, 1826932.6984046218, 0, 3
root.buildings[134]( parameter = 0.0, capacityOfMosquitoes = 55.0 ), 554298.5377194652, 1825624.5928229452, 0, 4
root.buildings[135]( parameter = 0.0, capacityOfMosquitoes = 72.0 ), 554609.5949476253, 1826927.080756184, 0, 2
root.buildings[136]( parameter = 0.0, capacityOfMosquitoes = 23.0 ), 555110.598533044, 1824408.6939641743, 0, 4
root.buildings[137]( parameter = 0.0, capacityOfMosquitoes = 45.0 ), 555267.6044211752, 1825988.5368554199, 0, 2
root.buildings[138]( parameter = 0.0, capacityOfMosquitoes = 53.0 ), 555425.6782542166, 1825645.9871862822, 0, 5
root.buildings[139]( parameter = 0.0, capacityOfMosquitoes = 38.0 ), 556025.2127710241, 1825287.6459518378, 0, 4
root.buildings[140]( parameter = 0.0, capacityOfMosquitoes = 29.0 ), 555002.2048925007, 1826960.8822262224, 0, 3
root.buildings[141]( parameter = 0.0, capacityOfMosquitoes = 49.0 ), 554269.4106768273, 1825115.5252061074, 0, 2
root.buildings[142]( parameter = 0.0, capacityOfMosquitoes = 27.0 ), 554877.883406796, 1824340.1275929136, 0, 4
root.buildings[143]( parameter = 0.0, capacityOfMosquitoes = 20.0 ), 555757.2934156203, 1826955.2338285819, 1, 2
root.buildings[144]( parameter = 0.0, capacityOfMosquitoes = 56.0 ), 554707.2619914628, 1824847.2367412425, 0, 8
root.buildings[145]( parameter = 0.0, capacityOfMosquitoes = 29.0 ), 554922.491558701, 1825003.5920681774, 0, 5
root.buildings[146]( parameter = 0.0, capacityOfMosquitoes = 39.0 ), 556035.2774879041, 1826773.1358770467, 0, 2
root.buildings[147]( parameter = 0.0, capacityOfMosquitoes = 68.0 ), 555770.4726677673, 1827395.5264238485, 0, 3
root.buildings[148]( parameter = 0.0, capacityOfMosquitoes = 111.0 ), 556201.0246755295, 1825978.9650842466, 1, 4
root.buildings[149]( parameter = 0.0, capacityOfMosquitoes = 14.0 ), 556308.3509689776, 1827545.7736882675, 0, 4
root.buildings[150]( parameter = 0.0, capacityOfMosquitoes = 82.0 ), 554501.6173488641, 1828082.1179471083, 0, 3
root.buildings[151]( parameter = 0.0, capacityOfMosquitoes = 40.0 ), 556457.8493882938, 1825761.8600693557, 0, 3
root.buildings[152]( parameter = 0.0, capacityOfMosquitoes = 21.0 ), 556205.739445695, 1825496.9258630602, 1, 2
root.buildings[153]( parameter = 0.0, capacityOfMosquitoes = 77.0 ), 555893.420124206, 1826280.810091043, 0, 5
root.buildings[154]( parameter = 0.0, capacityOfMosquitoes = 9.0 ), 554490.4734964789, 1826195.3964767621, 1, 2
root.buildings[155]( parameter = 0.0, capacityOfMosquitoes = 85.0 ), 556126.357114434, 1826429.0786674337, 0, 3
root.buildings[156]( parameter = 0.0, capacityOfMosquitoes = 95.0 ), 555486.9086464278, 1827992.853781963, 1, 5
root.buildings[157]( parameter = 0.0, capacityOfMosquitoes = 18.0 ), 555875.0929311526, 1825448.8999562797, 0, 7
root.buildings[158]( parameter = 0.0, capacityOfMosquitoes = 74.0 ), 555379.0943922404, 1827205.8751568594, 0, 4
root.buildings[159]( parameter = 0.0, capacityOfMosquitoes = 58.0 ), 556543.4722748824, 1826958.944870578, 0, 3
root.buildings[160]( parameter = 0.0, capacityOfMosquitoes = 67.0 ), 555173.9057394775, 1828072.527075636, 0, 2
root.buildings[161]( parameter = 0.0, capacityOfMosquitoes = 98.0 ), 556058.8637312725, 1825286.0550412375, 0, 3
root.buildings[162]( parameter = 0.0, capacityOfMosquitoes = 48.0 ), 554890.4161286538, 1827539.9309669212, 0, 3
root.buildings[163]( parameter = 0.0, capacityOfMosquitoes = 4.0 ), 554196.5670284067, 1824571.2071013185, 0, 2
root.buildings[164]( parameter = 0.0, capacityOfMosquitoes = 26.0 ), 554440.8692677595, 1826948.2782954206, 2, 2
root.buildings[165]( parameter = 0.0, capacityOfMosquitoes = 35.0 ), 555865.4772359927, 1825861.5491242427, 0, 3
root.buildings[166]( parameter = 0.0, capacityOfMosquitoes = 51.0 ), 554279.3324747334, 1826560.5201247267, 0, 4
root.buildings[167]( parameter = 0.0, capacityOfMosquitoes = 61.0 ), 555807.0495174344, 1826637.6473648662, 0, 5
root.buildings[168]( parameter = 0.0, capacityOfMosquitoes = 26.0 ), 554306.7287478634, 1825974.0745016115, 0, 3
root.buildings[169]( parameter = 0.0, capacityOfMosquitoes = 25.0 ), 555654.6525066877, 1827652.1052947398, 0, 3
root.buildings[170]( parameter = 0.0, capacityOfMosquitoes = 77.0 ), 554625.4688340644, 1827651.9941471198, 0, 3
root.buildings[171]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 555363.221108418, 1825847.3911371112, 0, 2
root.buildings[172]( parameter = 0.0, capacityOfMosquitoes = 29.0 ), 555989.7873744278, 1824894.7156637465, 0, 2
root.buildings[173]( parameter = 0.0, capacityOfMosquitoes = 14.0 ), 555087.1103613452, 1824782.551995595, 1, 6
root.buildings[174]( parameter = 0.0, capacityOfMosquitoes = 24.0 ), 555783.8577682485, 1824754.2648607418, 1, 3
root.buildings[175]( parameter = 0.0, capacityOfMosquitoes = 29.0 ), 555998.6019969807, 1826451.7122455388, 0, 6
root.buildings[176]( parameter = 0.0, capacityOfMosquitoes = 36.0 ), 555567.3339001295, 1825548.8101000276, 0, 2
root.buildings[177]( parameter = 0.0, capacityOfMosquitoes = 30.0 ), 554918.8245492815, 1824390.303724345, 0, 2
root.buildings[178]( parameter = 0.0, capacityOfMosquitoes = 0.0 ), 554927.0265302024, 1827181.3424248006, 0, 3
root.buildings[179]( parameter = 0.0, capacityOfMosquitoes = 32.0 ), 555545.6216168827, 1825506.3120894865, 0, 3
root.buildings[180]( parameter = 0.0, capacityOfMosquitoes = 52.0 ), 555387.7251785641, 1825991.9566008237, 0, 4
root.buildings[181]( parameter = 0.0, capacityOfMosquitoes = 25.0 ), 554174.0805584415, 1827402.1937262756, 0, 2
root.buildings[182]( parameter = 0.0, capacityOfMosquitoes = 132.0 ), 555419.7632038879, 1824622.889825446, 0, 2
root.buildings[183]( parameter = 0.0, capacityOfMosquitoes = 158.0 ), 555654.4786630339, 1825956.851228305, 1, 2
root.buildings[184]( parameter = 0.0, capacityOfMosquitoes = 80.0 ), 554288.9948214695, 1827208.2762855329, 0, 2
root.buildings[185]( parameter = 0.0, capacityOfMosquitoes = 40.0 ), 555292.7921707112, 1824839.1700295494, 0, 2
root.buildings[186]( parameter = 0.0, capacityOfMosquitoes = 50.0 ), 556528.956323567, 1824307.7399121514, 0, 2
root.buildings[187]( parameter = 0.0, capacityOfMosquitoes = 24.0 ), 555211.2097443148, 1826883.5038837427, 0, 2
root.buildings[188]( parameter = 0.0, capacityOfMosquitoes = 4.0 ), 554226.3078686873, 1824436.6730698647, 0, 4
root.buildings[189]( parameter = 0.0, capacityOfMosquitoes = 51.0 ), 555843.341891694, 1827932.9466238385, 1, 4
root.buildings[190]( parameter = 0.0, capacityOfMosquitoes = 86.0 ), 555427.335289886, 1827363.212801928, 0, 3
root.buildings[191]( parameter = 0.0, capacityOfMosquitoes = 43.0 ), 554501.9971350163, 1827374.6919147298, 0, 2
root.buildings[192]( parameter = 0.0, capacityOfMosquitoes = 16.0 ), 556301.4541580632, 1826234.4042207312, 0, 3
root.buildings[193]( parameter = 0.0, capacityOfMosquitoes = 22.0 ), 554997.339192479, 1824319.510785976, 0, 2
root.buildings[194]( parameter = 0.0, capacityOfMosquitoes = 59.0 ), 556197.9448518179, 1826077.790853842, 0, 2
root.buildings[195]( parameter = 0.0, capacityOfMosquitoes = 76.0 ), 555479.1026762604, 1826477.1171001545, 1, 2
root.buildings[196]( parameter = 0.0, capacityOfMosquitoes = 62.0 ), 554560.9202022194, 1825758.730209579, 0, 3
root.buildings[197]( parameter = 0.0, capacityOfMosquitoes = 50.0 ), 554252.970684166, 1825585.7246024325, 0, 2
root.buildings[198]( parameter = 0.0, capacityOfMosquitoes = 84.0 ), 555240.2541959591, 1824419.6878417192, 0, 2
root.buildings[199]( parameter = 0.0, capacityOfMosquitoes = 47.0 ), 555680.7874389824, 1826219.750631599, 0, 3
root.buildings[200]( parameter = 0.0, capacityOfMosquitoes = 57.0 ), 554853.4591167041, 1825793.5131190736, 0, 3
root.buildings[201]( parameter = 0.0, capacityOfMosquitoes = 35.0 ), 554664.9312870097, 1827126.6189434114, 0, 2
root.buildings[202]( parameter = 0.0, capacityOfMosquitoes = 152.0 ), 555645.1404043861, 1825548.4604049718, 1, 3
root.buildings[203]( parameter = 0.0, capacityOfMosquitoes = 3.0 ), 555181.3678377103, 1826477.0783816385, 0, 2
root.buildings[204]( parameter = 0.0, capacityOfMosquitoes = 61.0 ), 556338.5714967723, 1824320.9959447319, 0, 2
root.buildings[205]( parameter = 0.0, capacityOfMosquitoes = 84.0 ), 554916.3656946667, 1825242.5585095065, 0, 3
root.buildings[206]( parameter = 0.0, capacityOfMosquitoes = 25.0 ), 556388.9972610589, 1824914.7074614873, 0, 2
root.buildings[207]( parameter = 0.0, capacityOfMosquitoes = 43.0 ), 554628.5094071516, 1826646.6125997847, 1, 2
root.buildings[208]( parameter = 0.0, capacityOfMosquitoes = 26.0 ), 555100.4371661119, 1825286.1197955757, 1, 2
root.buildings[209]( parameter = 0.0, capacityOfMosquitoes = 17.0 ), 555357.0615268293, 1826479.6344456216, 0, 3
root.buildings[210]( parameter = 0.0, capacityOfMosquitoes = 45.0 ), 556127.4055672388, 1826614.3904106738, 0, 3
root.buildings[211]( parameter = 0.0, capacityOfMosquitoes = 14.0 ), 556225.3266902477, 1824957.7115807582, 2, 5
root.buildings[212]( parameter = 0.0, capacityOfMosquitoes = 41.0 ), 555237.4887187061, 1827669.6573196661, 0, 2
root.buildings[213]( parameter = 0.0, capacityOfMosquitoes = 42.0 ), 555652.7306755832, 1825418.1436856834, 0, 4
root.buildings[214]( parameter = 0.0, capacityOfMosquitoes = 20.0 ), 554226.1415878569, 1824627.6283294973, 0, 3
root.buildings[215]( parameter = 0.0, capacityOfMosquitoes = 61.0 ), 555023.7893656542, 1826512.8499612887, 0, 2
root.buildings[216]( parameter = 0.0, capacityOfMosquitoes = 97.0 ), 555034.1591979653, 1827748.7379833623, 0, 2
root.buildings[217]( parameter = 0.0, capacityOfMosquitoes = 7.0 ), 556158.3206820942, 1826030.9523902046, 0, 4
root.buildings[218]( parameter = 0.0, capacityOfMosquitoes = 30.0 ), 556314.7067088934, 1824894.2759352496, 0, 3
root.buildings[219]( parameter = 0.0, capacityOfMosquitoes = 50.0 ), 556098.7305827936, 1825909.3451578438, 1, 2
root.buildings[220]( parameter = 0.0, capacityOfMosquitoes = 41.0 ), 555614.4970002639, 1825918.259316339, 1, 2
root.buildings[221]( parameter = 0.0, capacityOfMosquitoes = 21.0 ), 555497.2917030691, 1827389.9332672716, 0, 7
root.buildings[222]( parameter = 0.0, capacityOfMosquitoes = 47.0 ), 554971.3685020411, 1824472.3110770038, 0, 3
root.buildings[223]( parameter = 0.0, capacityOfMosquitoes = 8.0 ), 555759.424654289, 1828080.61666794, 1, 4
root.buildings[224]( parameter = 0.0, capacityOfMosquitoes = 48.0 ), 554856.5576086555, 1827539.370890414, 0, 3
root.buildings[225]( parameter = 0.0, capacityOfMosquitoes = 29.0 ), 554293.9837395389, 1825413.89616455, 0, 6
